MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
96,2545,Bruce St,Ashmont St,Wrentham St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.1000,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
97,1467,Briarcliff Ter,Gladeside Ave,Ridgeview Ave,7,12:00:00.0000000,16:00:00.0000000,Even,0.0934,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
98,558,Brainerd Rd,Harvard Ave,Harvard Ave,4,12:00:00.0000000,16:00:00.0000000,Odd,0.0000,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
99,601,Ardee St,Everett St,Maverick St,9,08:00:00.0000000,12:00:00.0000000,Odd,0.0472,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
100,1907,Cameron St,Hancock St,Dead End,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1047,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
101,2888,Chiswick Rd,Englewood Ave,Chestnut Hill Ave,4,12:00:00.0000000,16:00:00.0000000,Even,0.4402,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
102,1028,Bond St,Milford St,Hanson St,1S,08:00:00.0000000,12:00:00.0000000,Even,0.0417,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
104,2585,Blue Hill Ave,Morton St,River St,7,00:01:00.0000000,07:00:00.0000000,Median,1.1542,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
105,2164,Clementine Park,Centre St,Dayton St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.0845,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
106,1137,Cedar St,River St,Temple St,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1947,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
107,1701,Durham St,St Botolph St,Dead End,1B,08:00:00.0000000,12:00:00.0000000,Odd,0.0502,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
108,811,Bunker Hill St,Lowney Way,Medford St,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.9775,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False
109,146,Bowdoin Ave,Eldon St,Nottingham St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.3093,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
110,1498,Circuit St,Walnut Ave,Washington St,10R,12:00:00.0000000,16:00:00.0000000,Even,0.3496,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
111,245,Brookledge St,Humboldt Ave,Elm Hill Ave,10R,08:00:00.0000000,12:00:00.0000000,Even,0.2225,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
112,416,Bolton St,D St,Dorchester St,5,09:00:00.0000000,13:00:00.0000000,Both,0.3598,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
113,1833,Chester St,Brighton Av,Ashford St,4,08:00:00.0000000,12:00:00.0000000,Odd,0.1413,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
114,93,Bird St,Columbia Rd,Dead End,3,12:00:00.0000000,16:00:00.0000000,Odd,0.2212,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
115,2786,Atkinson St,Southampton St,Topeka St,3,00:01:00.0000000,07:00:00.0000000,,0.2271,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
116,1369,Bynner St,Creighton St,South Huntington Ave,2,12:00:00.0000000,16:00:00.0000000,Even,0.2144,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
117,1329,Brainerd Rd,Harvard Ave,Gorham St,4,12:00:00.0000000,16:00:00.0000000,Even,0.1307,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
118,1975,Chase St,Willis St,East Cottage St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0634,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
119,172,Blakeville St,Bowdoin St,Olney St,3,12:00:00.0000000,16:00:00.0000000,Even,0.1235,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
120,2505,Caddy Rd,Sanford St,Monson St,7,12:00:00.0000000,16:00:00.0000000,Even,0.0794,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
121,1911,Bentham Rd,Draper St,Mount Ida Rd,3,08:00:00.0000000,12:00:00.0000000,Odd,0.0561,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
122,854,Bennett St,Market St,Oakland St,4,08:00:00.0000000,12:00:00.0000000,Even,0.4112,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
123,1102,Ashton St,Callender St,Woodrow Ave,7,08:00:00.0000000,12:00:00.0000000,Even,0.2080,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
124,740,Clifford St,Warren St,Blue Hill Ave,10R,08:00:00.0000000,12:00:00.0000000,Even,0.2313,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
125,2880,Boston St,Dorchester Ave,Songin Father Anthony Way,5,09:00:00.0000000,13:00:00.0000000,Odd,0.1057,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
126,1085,Brent St,Washington St,Melbourne St,7,08:00:00.0000000,12:00:00.0000000,Even,0.2981,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
127,859,Brackett St,Washington St,Faneuil St,4,08:00:00.0000000,12:00:00.0000000,Even,0.1229,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
128,1908,Clarkson St,Hendry St,Quincy St,3,08:00:00.0000000,12:00:00.0000000,Even,0.0602,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
129,1785,Auburn St,Main St,Bunker Hill St,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.1320,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
130,843,Bennett St,Market St,South Hobbart St,4,12:00:00.0000000,16:00:00.0000000,Even,0.3021,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
131,1174,Clarkwood St,Blue Hill Ave,Norfolk St,7,12:00:00.0000000,16:00:00.0000000,Even,0.1975,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
132,1263,Auckland St,Savin Hill Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Even,0.2811,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
133,2409,Albion Pl,Main St,Auburn Sq,1C,12:00:00.0000000,16:00:00.0000000,Even,0.0725,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
134,2286,Auckland St,Savin Hill Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Odd,0.2811,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
135,736,Auckland St,Belfort St,Savin Hill Ave,3,08:00:00.0000000,12:00:00.0000000,Even,0.1634,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
136,2014,Auckland St,Belfort St,Savin Hill Ave,3,08:00:00.0000000,12:00:00.0000000,Odd,0.1634,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
137,1449,Ames St,Westview St,Dead End,7,08:00:00.0000000,12:00:00.0000000,Even,0.3042,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
138,1034,Almont St,Blue Hill Ave,Walk Hill St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.5839,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
139,2239,Bennington St,Neptune Rd,Saratoga St,9,12:00:00.0000000,16:00:00.0000000,Even,1.0610,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
140,348,Belmore Ter,Boylston St,Oakview Ter,2,08:00:00.0000000,12:00:00.0000000,Even,0.0589,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
141,781,Austin St,Main St,Rutherford Ave,1C,12:00:00.0000000,16:00:00.0000000,Even,0.1258,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
142,2488,Austin St,Main St,Rutherford Ave,1C,12:00:00.0000000,16:00:00.0000000,Odd,0.1258,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
143,1406,Brooks St,Bremen St,Princeton St,9,12:00:00.0000000,16:00:00.0000000,Odd,0.2513,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
144,1373,Bucknam St,Lawn St,Fisher Ave,10M,12:00:00.0000000,16:00:00.0000000,Even,0.0803,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
145,2467,Chesterton St,Massachusetts Ave,Allerton St,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.1087,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
146,2631,Bowdoin St,Derne St,Beacon St,1H,00:01:00.0000000,07:00:00.0000000,Odd,0.1057,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True
147,299,Arcola St,Day St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Even,0.0608,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
148,1673,Cleveland St,Winthrop St,Moreland St,10R,08:00:00.0000000,12:00:00.0000000,Even,0.0676,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
149,1440,Chaucer St,Curtis St,Moore St,9,12:00:00.0000000,16:00:00.0000000,Even,0.1127,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
150,1681,Charter St,Hanover St,Commercial St,1N,08:00:00.0000000,12:00:00.0000000,Odd,0.2591,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
151,537,Bentham Rd,Draper St,Mount Ida Rd,3,08:00:00.0000000,12:00:00.0000000,Even,0.0561,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
152,818,Border St,Central Sq,Dead End,9,08:00:00.0000000,12:00:00.0000000,Even,0.5587,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
153,2629,Blossom Ct,Blossom St,Emerson Pl,1W,02:00:00.0000000,07:00:00.0000000,,0.0511,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
154,1198,Callender St,Tucker St,Don St,7,08:00:00.0000000,12:00:00.0000000,Odd,0.3741,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
155,1206,Arbutus St,Blue Hill Ave,Irma St,7,08:00:00.0000000,12:00:00.0000000,Even,0.1438,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
156,100,Adams St,Bowdoin St,Leedsville St,3,08:00:00.0000000,12:00:00.0000000,Even,0.3045,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False
157,2911,Castleton St,South Huntington Ave,Jamaicaway,2,12:00:00.0000000,16:00:00.0000000,Odd,0.1496,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
158,697,Annapolis St,Sumner St,Bakersfield St,3,12:00:00.0000000,16:00:00.0000000,Even,0.0650,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
159,2863,Anson St,South St,Dead End,2,12:00:00.0000000,16:00:00.0000000,Even,0.0564,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
160,926,Cedar St,High St,Bartlett St,1C,12:00:00.0000000,16:00:00.0000000,Even,0.0852,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
161,756,Adams St,Eustis St,Forest St,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.1097,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
162,1021,Claremont Park,Columbus Ave,Claremont St,1S,08:00:00.0000000,12:00:00.0000000,Odd,0.0970,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
163,291,Cambridge St,Alford St,Crescent St,1C,05:00:00.0000000,07:00:00.0000000,Odd,0.4205,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False
164,1656,Chestnut Hill Ave,Commonwealth Ave,Brookline Town Line,4,12:00:00.0000000,16:00:00.0000000,Even,0.2331,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
